question_id,video_id,type,series,status,score,max_score,normalized_score,source_run,http_status,request_hash
G2_Q000055,G2_V000022,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000056,G2_V000023,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000057,G2_V000023,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000058,G2_V000023,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000059,G2_V000023,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000060,G2_V000023,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000061,G2_V000024,emotional intensity comparison,unclassified,scored,1,1,1.0,,,
G2_Q000062,G2_V000024,emotional reasoning,unclassified,scored,0,1,0.0,,,
G2_Q000063,G2_V000024,emotional reasoning,unclassified,scored,1,1,1.0,,,
G2_Q000064,G2_V000024,emotional reasoning,unclassified,scored,1,1,1.0,,,
G2_Q000065,G2_V000024,emotional reasoning,unclassified,scored,1,1,1.0,,,
G2_Q000066,G2_V000025,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000067,G2_V000025,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000068,G2_V000025,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000069,G2_V000025,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000070,G2_V000025,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000071,G2_V000026,emotion trajectory,unclassified,scored,2,4,0.5,,,
G2_Q000072,G2_V000026,emotional intensity comparison,unclassified,scored,1,1,1.0,,,
G2_Q000073,G2_V000027,emotion trajectory,unclassified,scored,2,4,0.5,,,
G2_Q000074,G2_V000027,emotion trajectory,unclassified,scored,2,4,0.5,,,
G2_Q000075,G2_V000027,emotional reasoning,unclassified,scored,0,1,0.0,,,
G2_Q000076,G2_V000028,emotional intensity comparison,unclassified,scored,0,1,0.0,,,
G2_Q000077,G2_V000028,emotion trajectory,unclassified,scored,2,4,0.5,,,
G2_Q000078,G2_V000028,emotion trajectory,unclassified,scored,3,4,0.75,,,
G2_Q000079,G2_V000028,emotion trajectory,unclassified,scored,2,4,0.5,,,
G2_Q000080,G2_V000028,emotional reasoning,unclassified,scored,2,3,0.6666666666666666,,,
G2_Q000081,G2_V000028,emotional reasoning,unclassified,scored,3,3,1.0,,,
G2_Q000082,G2_V000029,emotional intensity comparison,unclassified,scored,1,1,1.0,,,
G2_Q000083,G2_V000029,emotion trajectory,unclassified,answer_output_json_error,,,,noevent_progressive_cached_v2_unattempted_20260924,,24a092ec1f29bd90df23b5fbed9de450682161167852837d3caec423eef347de
G2_Q000084,G2_V000029,emotion trajectory,unclassified,scored,2,4,0.5,,,
G2_Q000085,G2_V000029,emotional reasoning,unclassified,scored,2,3,0.6666666666666666,,,
G2_Q000086,G2_V000030,emotion trajectory,unclassified,scored,2,4,0.5,,,
G2_Q000087,G2_V000030,emotion trajectory,unclassified,scored,2,4,0.5,,,
G2_Q000088,G2_V000031,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000089,G2_V000031,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000090,G2_V000031,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000091,G2_V000032,emotion trajectory,Frasier,plan_content_filter,,,,noevent_progressive_cached_v2_20260924,400,467066da0b30945116a07672f9db56d6ccf3506aa6ff3e2ee814e30e7f4ebfd0
G2_Q000092,G2_V000032,emotional reasoning,Frasier,scored,1,1,1.0,,,
G2_Q000093,G2_V000032,emotional reasoning,Frasier,plan_content_filter,,,,noevent_progressive_cached_v2_20260924,400,ec40dd43249457182ca5044d48883293fef31cd4e88b25de84467c4b80f5e328
G2_Q000094,G2_V000033,emotional intensity comparison,Frasier,scored,0,1,0.0,,,
G2_Q000095,G2_V000033,emotional intensity comparison,Frasier,scored,1,1,1.0,,,
G2_Q000096,G2_V000033,emotion trajectory,Frasier,answer_output_json_error,,,,noevent_progressive_cached_v2_20260924,,9e36030cf790bba2ce2721080ed718f7ac3b1c238521cb309c6a892f1a12efe3
G2_Q000097,G2_V000034,emotional intensity comparison,Frasier,no_complete_observation_cache,,,,,,
G2_Q000098,G2_V000034,emotional intensity comparison,Frasier,no_complete_observation_cache,,,,,,
G2_Q000099,G2_V000034,emotion trajectory,Frasier,no_complete_observation_cache,,,,,,
G2_Q000100,G2_V000034,emotional reasoning,Frasier,no_complete_observation_cache,,,,,,
G2_Q000101,G2_V000034,emotional reasoning,Frasier,no_complete_observation_cache,,,,,,
G2_Q000102,G2_V000035,emotional intensity comparison,Frasier,no_complete_observation_cache,,,,,,
G2_Q000103,G2_V000035,emotional intensity comparison,Frasier,no_complete_observation_cache,,,,,,
G2_Q000104,G2_V000035,emotion trajectory,Frasier,no_complete_observation_cache,,,,,,
G2_Q000105,G2_V000035,emotional reasoning,Frasier,no_complete_observation_cache,,,,,,
G2_Q000106,G2_V000035,emotion trajectory,Frasier,no_complete_observation_cache,,,,,,
G2_Q000107,G2_V000036,emotion trajectory,Frasier,scored,3,4,0.75,,,
G2_Q000108,G2_V000036,emotional intensity comparison,Frasier,scored,1,1,1.0,,,
G2_Q000109,G2_V000037,emotional intensity comparison,Frasier,no_complete_observation_cache,,,,,,
G2_Q000110,G2_V000037,emotion trajectory,Frasier,no_complete_observation_cache,,,,,,
G2_Q000111,G2_V000037,emotional reasoning,Frasier,no_complete_observation_cache,,,,,,
G2_Q000112,G2_V000038,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000113,G2_V000038,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000114,G2_V000038,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000115,G2_V000038,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000116,G2_V000038,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000117,G2_V000039,emotional intensity comparison,Frasier,scored,0,1,0.0,,,
G2_Q000118,G2_V000039,emotion trajectory,Frasier,scored,2,4,0.5,,,
G2_Q000119,G2_V000039,emotional reasoning,Frasier,scored,3,3,1.0,,,
G2_Q000120,G2_V000039,emotional reasoning,Frasier,scored,3,3,1.0,,,
G2_Q000121,G2_V000040,emotional intensity comparison,Frasier,scored,1,1,1.0,,,
G2_Q000122,G2_V000040,emotion trajectory,Frasier,scored,2,4,0.5,,,
G2_Q000123,G2_V000041,emotional intensity comparison,Frasier,scored,0,1,0.0,,,
G2_Q000124,G2_V000041,emotional intensity comparison,Frasier,scored,0,1,0.0,,,
G2_Q000125,G2_V000041,emotional intensity comparison,Frasier,scored,1,1,1.0,,,
G2_Q000126,G2_V000041,emotion trajectory,Frasier,scored,4,4,1.0,,,
G2_Q000127,G2_V000041,emotional reasoning,Frasier,scored,3,3,1.0,,,
G2_Q000128,G2_V000042,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000129,G2_V000042,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000130,G2_V000042,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000131,G2_V000042,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000132,G2_V000043,emotional intensity comparison,Frasier,scored,0,1,0.0,,,
G2_Q000133,G2_V000043,emotional intensity comparison,Frasier,scored,0,1,0.0,,,
G2_Q000134,G2_V000043,emotion trajectory,Frasier,plan_content_filter,,,,noevent_progressive_cached_v2_unattempted_20260924,400,64009d4794de9710181e0f3e2a8b6a8caeeed6d99cfc851bfd4dadb79a0aa746
G2_Q000135,G2_V000043,emotion trajectory,Frasier,scored,2,4,0.5,,,
G2_Q000136,G2_V000043,emotional reasoning,Frasier,scored,2,3,0.6666666666666666,,,
G2_Q000137,G2_V000044,emotional intensity comparison,Frasier,scored,0,1,0.0,,,
G2_Q000138,G2_V000044,emotion trajectory,Frasier,scored,3,4,0.75,,,
G2_Q000139,G2_V000044,emotional reasoning,Frasier,scored,1,1,1.0,,,
G2_Q000140,G2_V000044,emotion trajectory,Frasier,scored,3,4,0.75,,,
G2_Q000141,G2_V000045,emotional intensity comparison,Frasier,scored,0,1,0.0,,,
G2_Q000142,G2_V000045,emotional intensity comparison,Frasier,scored,1,1,1.0,,,
G2_Q000143,G2_V000045,emotion trajectory,Frasier,scored,2,4,0.5,,,
G2_Q000144,G2_V000046,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000145,G2_V000046,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000146,G2_V000046,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000147,G2_V000047,emotional intensity comparison,Frasier,scored,0,1,0.0,,,
G2_Q000148,G2_V000047,emotional intensity comparison,Frasier,scored,0,1,0.0,,,
G2_Q000149,G2_V000047,emotion trajectory,Frasier,plan_content_filter,,,,noevent_progressive_cached_v2_transport_20260924,400,961fcbdaac7cd2a80942d35db5fc3fef752f489c2fc8a3c1059875296a988123
G2_Q000150,G2_V000047,emotion trajectory,Frasier,plan_content_filter,,,,noevent_progressive_cached_v2_unattempted_20260924,400,11b36dedceb9f74b38e5beab908083dda541493e6ef4ee08075ebb84e4c9aff2
G2_Q000151,G2_V000048,emotional intensity comparison,Frasier,no_complete_observation_cache,,,,,,
G2_Q000152,G2_V000048,emotion trajectory,Frasier,no_complete_observation_cache,,,,,,
G2_Q000153,G2_V000048,emotion trajectory,Frasier,no_complete_observation_cache,,,,,,
G2_Q000154,G2_V000048,emotional reasoning,Frasier,no_complete_observation_cache,,,,,,
G2_Q000155,G2_V000049,emotional intensity comparison,Frasier,no_complete_observation_cache,,,,,,
G2_Q000156,G2_V000049,emotion trajectory,Frasier,no_complete_observation_cache,,,,,,
G2_Q000157,G2_V000049,emotion trajectory,Frasier,no_complete_observation_cache,,,,,,
G2_Q000158,G2_V000049,emotional reasoning,Frasier,no_complete_observation_cache,,,,,,
G2_Q000159,G2_V000050,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000160,G2_V000050,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000161,G2_V000050,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000162,G2_V000050,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000163,G2_V000050,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000164,G2_V000050,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000165,G2_V000051,emotional intensity comparison,Frasier,scored,0,1,0.0,,,
G2_Q000166,G2_V000051,emotional intensity comparison,Frasier,scored,1,1,1.0,,,
G2_Q000167,G2_V000051,emotion trajectory,Frasier,scored,2,4,0.5,,,
G2_Q000168,G2_V000051,emotion trajectory,Frasier,scored,3,4,0.75,,,
G2_Q000169,G2_V000052,emotion trajectory,unclassified,scored,3,4,0.75,,,
G2_Q000170,G2_V000052,emotion trajectory,unclassified,scored,1,4,0.25,,,
G2_Q000171,G2_V000053,emotional intensity comparison,Frasier,scored,0,1,0.0,,,
G2_Q000172,G2_V000053,emotional intensity comparison,Frasier,scored,1,1,1.0,,,
G2_Q000173,G2_V000053,emotion trajectory,Frasier,scored,2,4,0.5,,,
G2_Q000174,G2_V000053,emotional reasoning,Frasier,answer_output_json_error,,,,noevent_progressive_cached_v2_transport_20260924,,7ad0837db9381849cbdd5cf9187e47c8b6e469ea4f4c230b314886f6ad5d3af4
G2_Q000175,G2_V000054,emotional intensity comparison,unclassified,scored,1,1,1.0,,,
G2_Q000176,G2_V000054,emotion trajectory,unclassified,scored,3,4,0.75,,,
G2_Q000177,G2_V000054,emotion trajectory,unclassified,scored,2,4,0.5,,,
G2_Q000178,G2_V000055,emotional intensity comparison,Frasier,scored,1,1,1.0,,,
G2_Q000179,G2_V000055,emotion trajectory,Frasier,scored,3,4,0.75,,,
G2_Q000180,G2_V000055,emotion trajectory,Frasier,scored,4,4,1.0,,,
G2_Q000181,G2_V000056,emotional intensity comparison,Frasier,no_complete_observation_cache,,,,,,
G2_Q000182,G2_V000056,emotion trajectory,Frasier,no_complete_observation_cache,,,,,,
G2_Q000183,G2_V000056,emotion trajectory,Frasier,no_complete_observation_cache,,,,,,
G2_Q000184,G2_V000057,emotional intensity comparison,Frasier,no_complete_observation_cache,,,,,,
G2_Q000185,G2_V000057,emotion trajectory,Frasier,no_complete_observation_cache,,,,,,
G2_Q000186,G2_V000057,emotion trajectory,Frasier,no_complete_observation_cache,,,,,,
G2_Q000187,G2_V000057,emotional reasoning,Frasier,no_complete_observation_cache,,,,,,
G2_Q000188,G2_V000058,emotional intensity comparison,Frasier,no_complete_observation_cache,,,,,,
G2_Q000189,G2_V000058,emotion trajectory,Frasier,no_complete_observation_cache,,,,,,
G2_Q000190,G2_V000058,emotional reasoning,Frasier,no_complete_observation_cache,,,,,,
G2_Q000191,G2_V000059,emotional intensity comparison,Frasier,scored,1,1,1.0,,,
G2_Q000192,G2_V000059,emotion trajectory,Frasier,plan_content_filter,,,,noevent_progressive_cached_v2_unattempted_20260924,400,78bc5e02ba03d697eca7f3975d575ee08f3ab271d2f485400037b600dca7e0d1
G2_Q000193,G2_V000059,emotion trajectory,Frasier,plan_content_filter,,,,noevent_progressive_cached_v2_20260924,400,e85effb2b466c6b0453074d636dbd761bc3bd3dfb36b8d4c7a21e36b1fc7ed95
G2_Q000194,G2_V000059,emotional reasoning,Frasier,plan_content_filter,,,,noevent_progressive_cached_v2_20260924,400,1aa3210c6334cc36a3e2e07ead59c4ec843ce5d366c7a3db2b22b3141c5cfb64
G2_Q000195,G2_V000060,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000196,G2_V000060,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000197,G2_V000060,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000198,G2_V000060,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000199,G2_V000061,emotional intensity comparison,Frasier,no_complete_observation_cache,,,,,,
G2_Q000200,G2_V000061,emotion trajectory,Frasier,no_complete_observation_cache,,,,,,
G2_Q000201,G2_V000061,emotion trajectory,Frasier,no_complete_observation_cache,,,,,,
G2_Q000202,G2_V000061,emotional reasoning,Frasier,no_complete_observation_cache,,,,,,
G2_Q000203,G2_V000062,emotional intensity comparison,Frasier,scored,1,1,1.0,,,
G2_Q000204,G2_V000062,emotion trajectory,Frasier,scored,3,4,0.75,,,
G2_Q000205,G2_V000062,emotion trajectory,Frasier,scored,4,4,1.0,,,
G2_Q000206,G2_V000063,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000207,G2_V000063,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000208,G2_V000063,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000209,G2_V000064,emotional reasoning,Friends,no_complete_observation_cache,,,,,,
G2_Q000210,G2_V000064,emotion trajectory,Friends,no_complete_observation_cache,,,,,,
G2_Q000211,G2_V000064,emotional reasoning,Friends,no_complete_observation_cache,,,,,,
G2_Q000212,G2_V000064,emotional intensity comparison,Friends,no_complete_observation_cache,,,,,,
G2_Q000213,G2_V000064,emotional intensity comparison,Friends,no_complete_observation_cache,,,,,,
G2_Q000214,G2_V000064,emotion trajectory,Friends,no_complete_observation_cache,,,,,,
G2_Q000215,G2_V000064,emotion trajectory,Friends,no_complete_observation_cache,,,,,,
G2_Q000216,G2_V000065,emotional intensity comparison,unclassified,scored,1,1,1.0,,,
G2_Q000217,G2_V000065,emotion trajectory,unclassified,scored,2,4,0.5,,,
G2_Q000218,G2_V000065,emotion trajectory,unclassified,scored,2,4,0.5,,,
G2_Q000219,G2_V000065,emotional reasoning,unclassified,scored,3,3,1.0,,,
G2_Q000220,G2_V000065,emotional reasoning,unclassified,scored,3,3,1.0,,,
G2_Q000221,G2_V000065,emotional reasoning,unclassified,scored,3,3,1.0,,,
G2_Q000222,G2_V000066,emotional reasoning,Friends,scored,2,3,0.6666666666666666,,,
G2_Q000223,G2_V000066,emotional intensity comparison,Friends,scored,1,1,1.0,,,
G2_Q000224,G2_V000066,emotion trajectory,Friends,scored,3,4,0.75,,,
G2_Q000225,G2_V000066,emotion trajectory,Friends,scored,3,4,0.75,,,
G2_Q000226,G2_V000067,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000227,G2_V000067,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000228,G2_V000067,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000229,G2_V000067,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000230,G2_V000067,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000231,G2_V000067,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000232,G2_V000068,emotion trajectory,Friends,no_complete_observation_cache,,,,,,
G2_Q000233,G2_V000068,emotional intensity comparison,Friends,no_complete_observation_cache,,,,,,
G2_Q000234,G2_V000068,emotion trajectory,Friends,no_complete_observation_cache,,,,,,
G2_Q000235,G2_V000068,emotional intensity comparison,Friends,no_complete_observation_cache,,,,,,
G2_Q000236,G2_V000069,emotional intensity comparison,unclassified,scored,1,1,1.0,,,
G2_Q000237,G2_V000069,emotion trajectory,unclassified,scored,3,4,0.75,,,
G2_Q000238,G2_V000069,emotion trajectory,unclassified,scored,3,4,0.75,,,
G2_Q000239,G2_V000069,emotional reasoning,unclassified,scored,2,3,0.6666666666666666,,,
G2_Q000240,G2_V000069,emotional reasoning,unclassified,scored,3,3,1.0,,,
G2_Q000241,G2_V000069,emotional reasoning,unclassified,scored,2,3,0.6666666666666666,,,
G2_Q000242,G2_V000070,emotion trajectory,Friends,scored,2,4,0.5,,,
G2_Q000243,G2_V000070,emotional reasoning,Friends,scored,2,3,0.6666666666666666,,,
G2_Q000244,G2_V000070,emotional reasoning,Friends,scored,3,3,1.0,,,
G2_Q000245,G2_V000070,emotion trajectory,Friends,scored,2,4,0.5,,,
G2_Q000246,G2_V000070,emotional reasoning,Friends,scored,3,3,1.0,,,
G2_Q000247,G2_V000070,emotional reasoning,Friends,scored,3,3,1.0,,,
G2_Q000248,G2_V000071,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000249,G2_V000071,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000250,G2_V000071,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000251,G2_V000071,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000252,G2_V000071,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000253,G2_V000071,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000254,G2_V000072,emotional intensity comparison,Friends,scored,1,1,1.0,,,
G2_Q000255,G2_V000072,emotion trajectory,Friends,scored,3,4,0.75,,,
G2_Q000256,G2_V000072,emotion trajectory,Friends,scored,2,4,0.5,,,
G2_Q000257,G2_V000072,emotion trajectory,Friends,scored,2,4,0.5,,,
G2_Q000258,G2_V000072,emotional intensity comparison,Friends,scored,1,1,1.0,,,
G2_Q000259,G2_V000072,emotion trajectory,Friends,excluded_prior_backend_refusal,,,,,,
G2_Q000260,G2_V000072,emotional reasoning,Friends,excluded_prior_backend_refusal,,,,,,
G2_Q000261,G2_V000073,emotional intensity comparison,unclassified,scored,1,1,1.0,,,
G2_Q000262,G2_V000073,emotional intensity comparison,unclassified,scored,0,1,0.0,,,
G2_Q000263,G2_V000073,emotional intensity comparison,unclassified,scored,0,1,0.0,,,
G2_Q000264,G2_V000073,emotional reasoning,unclassified,scored,2,3,0.6666666666666666,,,
G2_Q000265,G2_V000074,emotion trajectory,Friends,scored,2,4,0.5,,,
G2_Q000266,G2_V000074,emotion trajectory,Friends,plan_invalid_parameter,,,,noevent_progressive_cached_v2_20260924,400,c4b7e581e037078dabe897b8682a8c24418aa16cec18d821f40ead85aa298b2e
G2_Q000267,G2_V000074,emotional reasoning,Friends,plan_invalid_parameter,,,,noevent_progressive_cached_v2_20260924,400,44de2db94d488f12deee9548f9fc181fee727dd45a6922c4577a4c130c443e56
G2_Q000268,G2_V000075,emotional intensity comparison,Friends,embedding_http429,,,,noevent_progressive_cached_v2_unattempted_20260924,,
G2_Q000269,G2_V000075,emotion trajectory,Friends,embedding_http429,,,,noevent_progressive_cached_v2_unattempted_20260924,,
G2_Q000270,G2_V000075,emotion trajectory,Friends,embedding_http429,,,,noevent_progressive_cached_v2_unattempted_20260924,,
G2_Q000271,G2_V000076,emotional reasoning,Friends,scored,3,3,1.0,,,
G2_Q000272,G2_V000076,emotion trajectory,Friends,scored,2,4,0.5,,,
G2_Q000273,G2_V000077,emotion trajectory,Friends,plan_content_filter,,,,noevent_progressive_cached_v2_unattempted_20260924,400,64097f855806b997225a0bfd4f8710cce7db343cdc746af2a659c3d255e37def
G2_Q000274,G2_V000077,emotional reasoning,Friends,plan_content_filter,,,,noevent_progressive_cached_v2_20260924,400,0d03ab91c46f6cbbf4c95049ba7191d22a9cfc58cd31b8c5dc39cc19bc623aca
G2_Q000275,G2_V000077,emotion trajectory,Friends,plan_content_filter,,,,noevent_progressive_cached_v2_20260924,400,52a2b2ba798683fdd3cc841d9a6acfd6d1a98ffe43481cfcd57cee34d9619fe2
G2_Q000276,G2_V000078,emotional reasoning,Friends,scored,1,3,0.3333333333333333,,,
G2_Q000277,G2_V000078,emotional reasoning,Friends,scored,3,3,1.0,,,
G2_Q000278,G2_V000079,emotional intensity comparison,Friends,scored,1,1,1.0,,,
G2_Q000279,G2_V000079,emotional reasoning,Friends,scored,3,3,1.0,,,
G2_Q000280,G2_V000079,emotion trajectory,Friends,scored,2,4,0.5,,,
G2_Q000281,G2_V000079,emotion trajectory,Friends,scored,3,4,0.75,,,
G2_Q000282,G2_V000080,emotional intensity comparison,unclassified,scored,0,1,0.0,,,
G2_Q000283,G2_V000080,emotion trajectory,unclassified,scored,2,4,0.5,,,
G2_Q000284,G2_V000080,emotional reasoning,unclassified,scored,3,3,1.0,,,
G2_Q000285,G2_V000080,emotional reasoning,unclassified,scored,2,3,0.6666666666666666,,,
G2_Q000286,G2_V000081,emotional intensity comparison,Friends,scored,0,1,0.0,,,
G2_Q000287,G2_V000081,emotion trajectory,Friends,scored,2,4,0.5,,,
